,home_name,home_id,away_name,away_id,timestamp,game_clock,team_basket,possession_team_id,event_type,points_scored,event_coord_x,event_coord_y
0,Wolverines,bdc2561d-f603-4fab-a262-f1d2af462277,Cougars,1f99a164-d593-4d81-85d5-0d7889d6f486,2018-03-18 02:26:00+00:00,9:51,right,bdc2561d-f603-4fab-a262-f1d2af462277,assist,,1006.0,567.0
1,Wolverines,bdc2561d-f603-4fab-a262-f1d2af462277,Cougars,1f99a164-d593-4d81-85d5-0d7889d6f486,2018-03-18 03:41:00+00:00,9:51,right,1f99a164-d593-4d81-85d5-0d7889d6f486,turnover,,811.0,245.0
2,Wolverines,bdc2561d-f603-4fab-a262-f1d2af462277,Cougars,1f99a164-d593-4d81-85d5-0d7889d6f486,2018-03-18 02:26:00+00:00,9:51,right,bdc2561d-f603-4fab-a262-f1d2af462277,threepointmade,3.0,1006.0,567.0
3,Wolverines,bdc2561d-f603-4fab-a262-f1d2af462277,Cougars,1f99a164-d593-4d81-85d5-0d7889d6f486,2018-03-18 03:41:00+00:00,9:51,right,1f99a164-d593-4d81-85d5-0d7889d6f486,turnover,,811.0,245.0
4,Wolverines,bdc2561d-f603-4fab-a262-f1d2af462277,Cougars,1f99a164-d593-4d81-85d5-0d7889d6f486,2018-03-18 02:26:00+00:00,9:33,left,1f99a164-d593-4d81-85d5-0d7889d6f486,threepointmade,3.0,156.0,555.0
5,Wolverines,bdc2561d-f603-4fab-a262-f1d2af462277,Cougars,1f99a164-d593-4d81-85d5-0d7889d6f486,2018-03-18 02:26:00+00:00,9:33,left,1f99a164-d593-4d81-85d5-0d7889d6f486,assist,,156.0,555.0
6,Wolverines,bdc2561d-f603-4fab-a262-f1d2af462277,Cougars,1f99a164-d593-4d81-85d5-0d7889d6f486,2018-03-18 03:42:00+00:00,9:26,left,,twopointmiss,,173.0,291.0
7,Wolverines,bdc2561d-f603-4fab-a262-f1d2af462277,Cougars,1f99a164-d593-4d81-85d5-0d7889d6f486,2018-03-18 03:42:00+00:00,9:24,right,bdc2561d-f603-4fab-a262-f1d2af462277,rebound,,173.0,291.0
8,Wolverines,bdc2561d-f603-4fab-a262-f1d2af462277,Cougars,1f99a164-d593-4d81-85d5-0d7889d6f486,2018-03-18 02:26:00+00:00,9:11,right,,threepointmiss,,897.0,61.0
9,Wolverines,bdc2561d-f603-4fab-a262-f1d2af462277,Cougars,1f99a164-d593-4d81-85d5-0d7889d6f486,2018-03-18 02:26:00+00:00,9:09,left,bdc2561d-f603-4fab-a262-f1d2af462277,rebound,,897.0,61.0
10,Wolverines,bdc2561d-f603-4fab-a262-f1d2af462277,Cougars,1f99a164-d593-4d81-85d5-0d7889d6f486,2018-03-18 03:42:00+00:00,8:58,right,,threepointmiss,,855.0,92.0
11,Wolverines,bdc2561d-f603-4fab-a262-f1d2af462277,Cougars,1f99a164-d593-4d81-85d5-0d7889d6f486,2018-03-18 03:42:00+00:00,8:56,left,1f99a164-d593-4d81-85d5-0d7889d6f486,rebound,,855.0,92.0
12,Wolverines,bdc2561d-f603-4fab-a262-f1d2af462277,Cougars,1f99a164-d593-4d81-85d5-0d7889d6f486,2018-03-18 02:27:00+00:00,8:48,left,,twopointmiss,,106.0,401.0
13,Wolverines,bdc2561d-f603-4fab-a262-f1d2af462277,Cougars,1f99a164-d593-4d81-85d5-0d7889d6f486,2018-03-18 02:27:00+00:00,8:46,right,1f99a164-d593-4d81-85d5-0d7889d6f486,rebound,,106.0,401.0
14,Wolverines,bdc2561d-f603-4fab-a262-f1d2af462277,Cougars,1f99a164-d593-4d81-85d5-0d7889d6f486,2018-03-18 03:43:00+00:00,8:43,right,1f99a164-d593-4d81-85d5-0d7889d6f486,personalfoul,,144.0,177.0
15,Wolverines,bdc2561d-f603-4fab-a262-f1d2af462277,Cougars,1f99a164-d593-4d81-85d5-0d7889d6f486,2018-03-18 03:43:00+00:00,8:43,right,1f99a164-d593-4d81-85d5-0d7889d6f486,personalfoul,,144.0,177.0
16,Wolverines,bdc2561d-f603-4fab-a262-f1d2af462277,Cougars,1f99a164-d593-4d81-85d5-0d7889d6f486,2018-03-18 03:43:00+00:00,8:41,right,bdc2561d-f603-4fab-a262-f1d2af462277,rebound,,228.0,294.0
17,Wolverines,bdc2561d-f603-4fab-a262-f1d2af462277,Cougars,1f99a164-d593-4d81-85d5-0d7889d6f486,2018-03-18 03:43:00+00:00,8:41,right,,lineupchange,,0.0,0.0
18,Wolverines,bdc2561d-f603-4fab-a262-f1d2af462277,Cougars,1f99a164-d593-4d81-85d5-0d7889d6f486,2018-03-18 03:43:00+00:00,8:41,left,,freethrowmiss,,228.0,294.0
19,Wolverines,bdc2561d-f603-4fab-a262-f1d2af462277,Cougars,1f99a164-d593-4d81-85d5-0d7889d6f486,2018-03-18 03:43:00+00:00,8:41,left,,lineupchange,,0.0,0.0
20,Wolverines,bdc2561d-f603-4fab-a262-f1d2af462277,Cougars,1f99a164-d593-4d81-85d5-0d7889d6f486,2018-03-18 02:27:00+00:00,8:33,right,bdc2561d-f603-4fab-a262-f1d2af462277,threepointmade,3.0,779.0,228.0
21,Wolverines,bdc2561d-f603-4fab-a262-f1d2af462277,Cougars,1f99a164-d593-4d81-85d5-0d7889d6f486,2018-03-18 03:44:00+00:00,8:26,right,,twopointmiss,,1019.0,266.0
22,Wolverines,bdc2561d-f603-4fab-a262-f1d2af462277,Cougars,1f99a164-d593-4d81-85d5-0d7889d6f486,2018-03-18 03:44:00+00:00,8:24,left,1f99a164-d593-4d81-85d5-0d7889d6f486,rebound,,1019.0,266.0
