,timestamp,game_clock,possession_arrow,event_type,points_scored,event_coord_x,event_coord_y
0,2018-03-18 02:26:00+00:00,9:51,1f99a164-d593-4d81-85d5-0d7889d6f486,assist,,1006.0,567.0
1,2018-03-18 02:26:00+00:00,9:51,1f99a164-d593-4d81-85d5-0d7889d6f486,threepointmade,3.0,1006.0,567.0
2,2018-03-18 03:41:00+00:00,9:51,1f99a164-d593-4d81-85d5-0d7889d6f486,turnover,,811.0,245.0
3,2018-03-18 03:41:00+00:00,9:51,1f99a164-d593-4d81-85d5-0d7889d6f486,turnover,,811.0,245.0
4,2018-03-18 02:26:00+00:00,9:33,1f99a164-d593-4d81-85d5-0d7889d6f486,assist,,156.0,555.0
5,2018-03-18 02:26:00+00:00,9:33,1f99a164-d593-4d81-85d5-0d7889d6f486,threepointmade,3.0,156.0,555.0
6,2018-03-18 03:42:00+00:00,9:26,1f99a164-d593-4d81-85d5-0d7889d6f486,twopointmiss,,173.0,291.0
7,2018-03-18 03:42:00+00:00,9:24,1f99a164-d593-4d81-85d5-0d7889d6f486,rebound,,173.0,291.0
8,2018-03-18 02:26:00+00:00,9:11,1f99a164-d593-4d81-85d5-0d7889d6f486,threepointmiss,,897.0,61.0
9,2018-03-18 02:26:00+00:00,9:09,1f99a164-d593-4d81-85d5-0d7889d6f486,rebound,,897.0,61.0
10,2018-03-18 03:42:00+00:00,8:58,1f99a164-d593-4d81-85d5-0d7889d6f486,threepointmiss,,855.0,92.0
11,2018-03-18 03:42:00+00:00,8:56,1f99a164-d593-4d81-85d5-0d7889d6f486,rebound,,855.0,92.0
12,2018-03-18 02:27:00+00:00,8:48,1f99a164-d593-4d81-85d5-0d7889d6f486,twopointmiss,,106.0,401.0
13,2018-03-18 02:27:00+00:00,8:46,1f99a164-d593-4d81-85d5-0d7889d6f486,rebound,,106.0,401.0
14,2018-03-18 03:43:00+00:00,8:43,1f99a164-d593-4d81-85d5-0d7889d6f486,personalfoul,,144.0,177.0
15,2018-03-18 03:43:00+00:00,8:43,1f99a164-d593-4d81-85d5-0d7889d6f486,personalfoul,,144.0,177.0
16,2018-03-18 03:43:00+00:00,8:41,1f99a164-d593-4d81-85d5-0d7889d6f486,lineupchange,,0.0,0.0
17,2018-03-18 03:43:00+00:00,8:41,1f99a164-d593-4d81-85d5-0d7889d6f486,lineupchange,,0.0,0.0
18,2018-03-18 03:43:00+00:00,8:41,1f99a164-d593-4d81-85d5-0d7889d6f486,freethrowmiss,,228.0,294.0
19,2018-03-18 03:43:00+00:00,8:41,1f99a164-d593-4d81-85d5-0d7889d6f486,rebound,,228.0,294.0
20,2018-03-18 02:27:00+00:00,8:33,1f99a164-d593-4d81-85d5-0d7889d6f486,threepointmade,3.0,779.0,228.0
21,2018-03-18 03:44:00+00:00,8:26,1f99a164-d593-4d81-85d5-0d7889d6f486,twopointmiss,,1019.0,266.0
22,2018-03-18 03:44:00+00:00,8:24,1f99a164-d593-4d81-85d5-0d7889d6f486,rebound,,1019.0,266.0
23,2018-03-18 03:44:00+00:00,8:16,1f99a164-d593-4d81-85d5-0d7889d6f486,twopointmade,2.0,129.0,235.0
24,2018-03-18 02:27:00+00:00,8:05,1f99a164-d593-4d81-85d5-0d7889d6f486,turnover,,125.0,215.0
